student_id,guardian_id,relationship,is_primary_contact,is_emergency_contact
4708,3239,FATHER,true,false
4708,3240,MOTHER,false,false
4710,3320,FATHER,true,false
4710,3321,MOTHER,false,false
4711,3410,FATHER,true,false
4711,3411,MOTHER,false,false
4728,2981,FATHER,true,false
4728,2982,MOTHER,false,false
4731,3555,FATHER,true,false
4731,3556,MOTHER,false,false
4732,3555,FATHER,true,false
4732,3556,MOTHER,false,false
4735,3389,FATHER,true,false
4735,3390,MOTHER,false,false
4744,3602,FATHER,true,false
4768,3412,FATHER,true,false
4768,3413,MOTHER,false,false
4770,3391,FATHER,true,false
4782,3296,FATHER,true,false
4782,3297,MOTHER,false,false
4784,3636,FATHER,true,false
4784,3637,MOTHER,false,false
4785,3251,FATHER,true,false
4785,3252,MOTHER,false,false
4797,3638,MOTHER,false,false
4800,3232,FATHER,true,false
4800,3233,MOTHER,false,false
4806,3050,FATHER,true,false
4806,3348,MOTHER,false,false
4837,2987,FATHER,true,false
4837,2988,MOTHER,false,false
4846,3027,FATHER,true,false
4846,3234,MOTHER,false,false
4847,3325,FATHER,true,false
4847,3326,MOTHER,false,false
4848,3325,FATHER,true,false
4848,3326,MOTHER,false,false
4855,3298,FATHER,true,false
4855,3299,MOTHER,false,false
4859,2759,FATHER,true,false
4859,3322,MOTHER,false,false
4867,3517,FATHER,true,false
4867,3518,MOTHER,false,false
4870,3414,MOTHER,false,false
4899,3116,FATHER,true,false
4899,3117,MOTHER,false,false
4901,3323,FATHER,true,false
4901,3324,MOTHER,false,false
4902,3323,FATHER,true,false
4902,3672,MOTHER,false,false
4914,3327,FATHER,true,false
4915,3235,FATHER,true,false
4915,3236,MOTHER,false,false
4917,3519,FATHER,true,false
4917,3520,MOTHER,false,false
4929,3673,FATHER,true,false
4934,3142,FATHER,true,false
4934,3143,MOTHER,false,false
4938,3392,FATHER,true,false
4938,3393,MOTHER,false,false
4939,3392,FATHER,true,false
4939,3393,MOTHER,false,false
4961,3349,FATHER,true,false
4961,3350,MOTHER,false,false
4962,3350,MOTHER,false,false
4962,3394,FATHER,true,false
4971,3371,FATHER,true,false
4971,3372,MOTHER,false,false
4994,3692,MOTHER,false,false
4996,3351,FATHER,true,false
4996,3352,MOTHER,false,false
4997,3351,FATHER,true,false
4997,3352,MOTHER,false,false
5006,2763,FATHER,true,false
5006,3374,MOTHER,false,false
5010,2862,FATHER,true,false
5010,3373,MOTHER,false,false
5012,2862,FATHER,true,false
5012,3373,MOTHER,false,false
5016,3144,FATHER,true,false
5016,3145,MOTHER,false,false
5021,3693,FATHER,true,false
5021,3694,MOTHER,false,false
5024,2763,FATHER,true,false
5024,3374,MOTHER,false,false
5025,2934,FATHER,true,false
5051,3353,FATHER,true,false
5051,3354,MOTHER,false,false
5059,2870,FATHER,true,false
5059,2871,MOTHER,false,false
5063,3603,FATHER,true,false
5063,3604,MOTHER,false,false
5076,3355,FATHER,true,false
5076,3356,MOTHER,false,false
5078,3237,FATHER,true,false
5078,3238,MOTHER,false,false
5079,3273,FATHER,true,false
5079,3274,MOTHER,false,false
5092,2983,FATHER,true,false
5092,2984,MOTHER,false,false
5105,3557,FATHER,true,false
5105,3558,MOTHER,false,false
5108,3239,FATHER,true,false
5108,3240,MOTHER,false,false
5109,3830,FATHER,true,false
5113,3848,FATHER,true,false
5116,3328,FATHER,true,false
5116,3329,MOTHER,false,false
5117,3187,FATHER,true,false
5117,3188,MOTHER,false,false
5130,3456,FATHER,true,false
5130,3457,MOTHER,false,false
5133,3428,MOTHER,false,false
5134,2701,FATHER,true,false
5134,3428,MOTHER,false,false
5149,2957,FATHER,true,false
5149,2958,MOTHER,false,false
5172,3330,FATHER,true,false
5172,3331,MOTHER,false,false
5178,3584,FATHER,true,false
5178,3585,MOTHER,false,false
5189,2701,FATHER,true,false
5189,2702,MOTHER,false,false
5195,3241,FATHER,true,false
5195,3242,MOTHER,false,false
5205,3275,FATHER,true,false
5205,3276,MOTHER,false,false
5208,3429,FATHER,true,false
5208,3430,MOTHER,false,false
5213,2853,FATHER,true,false
5213,2854,MOTHER,false,false
5227,3521,FATHER,true,false
5227,3522,MOTHER,false,false
5253,3257,FATHER,true,false
5253,3258,MOTHER,false,false
5275,2697,FATHER,true,false
5275,2698,MOTHER,false,false
5286,3212,FATHER,true,false
5286,3213,MOTHER,false,false
5304,3183,FATHER,true,false
5304,3184,MOTHER,false,false
5305,3183,FATHER,true,false
5305,3184,MOTHER,false,false
5309,3277,FATHER,true,false
5309,3278,MOTHER,false,false
5313,3586,FATHER,true,false
5313,3587,MOTHER,false,false
5327,3559,FATHER,true,false
5327,3560,MOTHER,false,false
5328,3431,FATHER,true,false
5328,3432,MOTHER,false,false
5333,2776,FATHER,true,false
5333,2777,MOTHER,false,false
5339,2661,FATHER,true,false
5339,2662,MOTHER,false,false
5343,2893,FATHER,true,false
5343,3577,MOTHER,false,false
5344,2893,FATHER,true,false
5344,3576,MOTHER,false,false
5345,2893,FATHER,true,false
5345,3576,MOTHER,false,false
5346,3828,FATHER,true,false
5347,2893,FATHER,true,false
5347,3576,MOTHER,false,false
5359,3243,FATHER,true,false
5359,3244,MOTHER,false,false
5363,3357,FATHER,true,false
5363,3358,MOTHER,false,false
5365,3358,MOTHER,false,false
5365,3561,FATHER,true,false
5369,3174,FATHER,true,false
5371,2840,FATHER,true,false
5371,2841,MOTHER,false,false
5372,3245,FATHER,true,false
5372,3246,MOTHER,false,false
5375,3048,FATHER,true,false
5382,3247,FATHER,true,false
5382,3248,MOTHER,false,false
5385,2670,FATHER,true,false
5385,2927,MOTHER,false,false
5400,3458,FATHER,true,false
5400,3459,MOTHER,false,false
5402,3460,FATHER,true,false
5406,3039,FATHER,true,false
5407,3039,FATHER,true,false
5416,3395,FATHER,true,false
5416,3396,MOTHER,false,false
5423,3831,FATHER,true,false
5426,3156,FATHER,true,false
5426,3157,MOTHER,false,false
5428,3206,FATHER,true,false
5428,3207,MOTHER,false,false
5436,3695,FATHER,true,false
5436,3696,MOTHER,false,false
5447,3208,FATHER,true,false
5447,3209,MOTHER,false,false
5450,3067,FATHER,true,false
5450,3068,MOTHER,false,false
5463,3523,FATHER,true,false
5504,2989,FATHER,true,false
5504,2990,MOTHER,false,false
5514,3183,FATHER,true,false
5514,3184,MOTHER,false,false
5520,3279,FATHER,true,false
5520,3280,MOTHER,false,false
5530,3210,FATHER,true,false
5530,3211,MOTHER,false,false
5531,2741,FATHER,true,false
5531,2742,MOTHER,false,false
5536,3433,FATHER,true,false
5536,3434,MOTHER,false,false
5542,3086,FATHER,true,false
5542,3087,MOTHER,false,false
5543,3086,FATHER,true,false
5543,3087,MOTHER,false,false
5553,2901,FATHER,true,false
5553,2902,MOTHER,false,false
5555,2940,FATHER,true,false
5555,2941,MOTHER,false,false
5560,3249,FATHER,true,false
5560,3250,MOTHER,false,false
5571,3773,FATHER,true,false
5572,3762,FATHER,true,false
5572,3763,MOTHER,false,false
5577,2759,FATHER,true,false
5577,2760,MOTHER,false,false
5589,3605,FATHER,true,false
5591,2793,FATHER,true,false
5591,2794,MOTHER,false,false
5621,3269,FATHER,true,false
5621,3270,MOTHER,false,false
5626,3132,FATHER,true,false
5626,3133,MOTHER,false,false
5628,3063,FATHER,true,false
5643,3461,MOTHER,false,false
5644,3461,MOTHER,false,false
5657,2759,FATHER,true,false
5657,2760,MOTHER,false,false
5665,2771,FATHER,true,false
5665,2772,MOTHER,false,false
5671,3134,MOTHER,false,false
5672,3134,MOTHER,false,false
5673,3134,MOTHER,false,false
5675,3212,FATHER,true,false
5675,3213,MOTHER,false,false
5690,3777,FATHER,true,false
5690,3778,MOTHER,false,false
5697,3251,FATHER,true,false
5697,3252,MOTHER,false,false
5710,2985,FATHER,true,false
5710,2986,MOTHER,false,false
5723,2977,MOTHER,false,false
5724,2977,MOTHER,false,false
5741,3185,FATHER,true,false
5741,3186,MOTHER,false,false
5747,3253,FATHER,true,false
