C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
7192,25000,15000,MISMATCH,-10000,1,1,1,0,0,0,"ISSUED(+7500) | NOT_ISSUED(+7500)"
7199,25000,7500,MISMATCH,-17500,2,0,1,0,0,0,"NOT_ISSUED(+7500)"
7204,25000,8000,MISMATCH,-17000,2,0,1,0,0,0,"NOT_ISSUED(+8000)"
7261,25000,21250,MISMATCH,-3750,2,0,1,0,0,0,"NOT_ISSUED(+21250)"
7331,25000,8750,MISMATCH,-16250,2,0,1,0,0,0,"NOT_ISSUED(+8750)"
7343,45000,40000,MISMATCH,-5000,1,1,1,0,0,0,"ISSUED(+20000) | NOT_ISSUED(+20000)"
7397,30000,10000,MISMATCH,-20000,1,1,1,0,0,0,"ISSUED(+5000) | NOT_ISSUED(+5000)"
7413,25000,15575,MISMATCH,-9425,2,0,1,0,0,0,"NOT_ISSUED(+15575)"
7435,43750,37500,MISMATCH,-6250,1,1,1,0,0,0,"ISSUED(+18750) | NOT_ISSUED(+18750)"
7456,27500,27500,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+27500)"
7380,25000,22500,MISMATCH,-2500,2,0,1,0,0,0,"NOT_ISSUED(+22500)"
7429,25000,22500,MISMATCH,-2500,2,0,1,0,0,0,"NOT_ISSUED(+22500)"
7474,25000,10000,MISMATCH,-15000,2,0,1,0,0,0,"NOT_ISSUED(+10000)"
7492,25000,16250,MISMATCH,-8750,2,0,1,0,0,0,"NOT_ISSUED(+16250)"
7489,47500,45000,MISMATCH,-2500,1,1,1,0,0,0,"NOT_ISSUED(+22500) | ISSUED(+22500)"
7512,25000,11250,MISMATCH,-13750,2,0,1,0,0,0,"NOT_ISSUED(+11250)"
7523,30000,10000,MISMATCH,-20000,1,1,1,0,0,0,"NOT_ISSUED(+5000) | ISSUED(+5000)"
7477,33750,17500,MISMATCH,-16250,1,1,1,0,0,0,"NOT_ISSUED(+8750) | ISSUED(+8750)"
7475,36250,22500,MISMATCH,-13750,3,1,1,0,0,0,"NOT_ISSUED(+11250) | ISSUED(+11250)"
7528,25000,7500,MISMATCH,-17500,2,0,1,0,0,0,"NOT_ISSUED(+7500)"
7502,36250,22500,MISMATCH,-13750,1,1,1,0,0,0,"NOT_ISSUED(+11250) | ISSUED(+11250)"
7532,50000,50000,MATCH,0,4,1,1,0,0,0,"NOT_ISSUED(+25000) | ISSUED(+25000)"
7525,25000,0,MISMATCH,-25000,2,0,1,0,0,0,"NOT_ISSUED(+0)"
7688,25000,5000,MISMATCH,-20000,2,0,1,0,0,0,"NOT_ISSUED(+5000)"
7687,30000,30000,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+30000)"
7737,47500,55000,MISMATCH,7500,1,1,1,0,0,0,"NOT_ISSUED(+27500) | ISSUED(+27500)"
