cc,status
5063,Only in cleaned_fees_heads.csv
5347,Only in cleaned_fees_heads.csv
5589,Only in cleaned_fees_heads.csv
6318,Only in cleaned_fees_heads.csv
6608,Only in cleaned_fees_heads.csv
6616,Only in cleaned_fees_heads.csv
7252,Only in cleaned_fees_heads.csv
7277,Only in cleaned_fees_heads.csv
7419,Only in cleaned_fees_heads.csv
7622,Only in cleaned_fees_heads.csv
7697,Only in cleaned_fees_heads.csv
7703,Only in cleaned_fees_heads.csv
7724,Only in cleaned_fees_heads.csv
7752,Only in cleaned_fees_heads.csv
4132,Only in cleaned_fees_heads.csv
4338,Only in cleaned_fees_heads.csv
4354,Only in cleaned_fees_heads.csv
4451,Only in cleaned_fees_heads.csv
5213,Only in cleaned_fees_heads.csv
5346,Only in cleaned_fees_heads.csv
5952,Only in cleaned_fees_heads.csv
6860,Only in cleaned_fees_heads.csv
6996,Only in cleaned_fees_heads.csv
7356,Only in cleaned_fees_heads.csv
7582,Only in cleaned_fees_heads.csv
7590,Only in cleaned_fees_heads.csv
7642,Only in cleaned_fees_heads.csv
7690,Only in cleaned_fees_heads.csv
7696,Only in cleaned_fees_heads.csv
7774,Only in cleaned_fees_heads.csv
7779,Only in cleaned_fees_heads.csv
7849,Only in cleaned_fees_heads.csv
7840,Only in cleaned_fees_heads.csv
7871,Only in cleaned_fees_heads.csv
4150,Only in cleaned_fees_heads.csv
4181,Only in cleaned_fees_heads.csv
4276,Only in cleaned_fees_heads.csv
4307,Only in cleaned_fees_heads.csv
4309,Only in cleaned_fees_heads.csv
4340,Only in cleaned_fees_heads.csv
4784,Only in cleaned_fees_heads.csv
4797,Only in cleaned_fees_heads.csv
5286,Only in cleaned_fees_heads.csv
6121,Only in cleaned_fees_heads.csv
6486,Only in cleaned_fees_heads.csv
6580,Only in cleaned_fees_heads.csv
6635,Only in cleaned_fees_heads.csv
6764,Only in cleaned_fees_heads.csv
6903,Only in cleaned_fees_heads.csv
7077,Only in cleaned_fees_heads.csv
7307,Only in cleaned_fees_heads.csv
7571,Only in cleaned_fees_heads.csv
7591,Only in cleaned_fees_heads.csv
7595,Only in cleaned_fees_heads.csv
7604,Only in cleaned_fees_heads.csv
7632,Only in cleaned_fees_heads.csv
7760,Only in cleaned_fees_heads.csv
7775,Only in cleaned_fees_heads.csv
7780,Only in cleaned_fees_heads.csv
7816,Only in cleaned_fees_heads.csv
7832,Only in cleaned_fees_heads.csv
7842,Only in cleaned_fees_heads.csv
3896,Only in cleaned_fees_heads.csv
3923,Only in cleaned_fees_heads.csv
4003,Only in cleaned_fees_heads.csv
4048,Only in cleaned_fees_heads.csv
4178,Only in cleaned_fees_heads.csv
4316,Only in cleaned_fees_heads.csv
4432,Only in cleaned_fees_heads.csv
4515,Only in cleaned_fees_heads.csv
4583,Only in cleaned_fees_heads.csv
4902,Only in cleaned_fees_heads.csv
4929,Only in cleaned_fees_heads.csv
5882,Only in cleaned_fees_heads.csv
6046,Only in cleaned_fees_heads.csv
6737,Only in cleaned_fees_heads.csv
6770,Only in cleaned_fees_heads.csv
7044,Only in cleaned_fees_heads.csv
7071,Only in cleaned_fees_heads.csv
7093,Only in cleaned_fees_heads.csv
7163,Only in cleaned_fees_heads.csv
7375,Only in cleaned_fees_heads.csv
7392,Only in cleaned_fees_heads.csv
7412,Only in cleaned_fees_heads.csv
3915,Only in cleaned_fees_heads.csv
3913,Only in cleaned_fees_heads.csv
3927,Only in cleaned_fees_heads.csv
4031,Only in cleaned_fees_heads.csv
4148,Only in cleaned_fees_heads.csv
4290,Only in cleaned_fees_heads.csv
4479,Only in cleaned_fees_heads.csv
4535,Only in cleaned_fees_heads.csv
4655,Only in cleaned_fees_heads.csv
4994,Only in cleaned_fees_heads.csv
5021,Only in cleaned_fees_heads.csv
5369,Only in cleaned_fees_heads.csv
5436,Only in cleaned_fees_heads.csv
5879,Only in cleaned_fees_heads.csv
6319,Only in cleaned_fees_heads.csv
6588,Only in cleaned_fees_heads.csv
6724,Only in cleaned_fees_heads.csv
6758,Only in cleaned_fees_heads.csv
6906,Only in cleaned_fees_heads.csv
7052,Only in cleaned_fees_heads.csv
7146,Only in cleaned_fees_heads.csv
7278,Only in cleaned_fees_heads.csv
7289,Only in cleaned_fees_heads.csv
7290,Only in cleaned_fees_heads.csv
7352,Only in cleaned_fees_heads.csv
7378,Only in cleaned_fees_heads.csv
7848,Only in cleaned_fees_heads.csv
4800,Only in cleaned_fees_heads.csv
4846,Only in cleaned_fees_heads.csv
4915,Only in cleaned_fees_heads.csv
5078,Only in cleaned_fees_heads.csv
5098,Only in cleaned_fees_heads.csv
5108,Only in cleaned_fees_heads.csv
5109,Only in cleaned_fees_heads.csv
5195,Only in cleaned_fees_heads.csv
5359,Only in cleaned_fees_heads.csv
5372,Only in cleaned_fees_heads.csv
5382,Only in cleaned_fees_heads.csv
5385,Only in cleaned_fees_heads.csv
5656,Only in cleaned_fees_heads.csv
5697,Only in cleaned_fees_heads.csv
5747,Only in cleaned_fees_heads.csv
6143,Only in cleaned_fees_heads.csv
6144,Only in cleaned_fees_heads.csv
6200,Only in cleaned_fees_heads.csv
6273,Only in cleaned_fees_heads.csv
6279,Only in cleaned_fees_heads.csv
6394,Only in cleaned_fees_heads.csv
6425,Only in cleaned_fees_heads.csv
6784,Only in cleaned_fees_heads.csv
7209,Only in cleaned_fees_heads.csv
7448,Only in cleaned_fees_heads.csv
7565,Only in cleaned_fees_heads.csv
7602,Only in cleaned_fees_heads.csv
7663,Only in cleaned_fees_heads.csv
7683,Only in cleaned_fees_heads.csv
7813,Only in cleaned_fees_heads.csv
7865,Only in cleaned_fees_heads.csv
4437,Only in cleaned_fees_heads.csv
4577,Only in cleaned_fees_heads.csv
5079,Only in cleaned_fees_heads.csv
5577,Only in cleaned_fees_heads.csv
6139,Only in cleaned_fees_heads.csv
6141,Only in cleaned_fees_heads.csv
6451,Only in cleaned_fees_heads.csv
7244,Only in cleaned_fees_heads.csv
7275,Only in cleaned_fees_heads.csv
7308,Only in cleaned_fees_heads.csv
7524,Only in cleaned_fees_heads.csv
7574,Only in cleaned_fees_heads.csv
7634,Only in cleaned_fees_heads.csv
7727,Only in cleaned_fees_heads.csv
7789,Only in cleaned_fees_heads.csv
7812,Only in cleaned_fees_heads.csv
4782,Only in cleaned_fees_heads.csv
4855,Only in cleaned_fees_heads.csv
5205,Only in cleaned_fees_heads.csv
5309,Only in cleaned_fees_heads.csv
5450,Only in cleaned_fees_heads.csv
5520,Only in cleaned_fees_heads.csv
6113,Only in cleaned_fees_heads.csv
6199,Only in cleaned_fees_heads.csv
6423,Only in cleaned_fees_heads.csv
6448,Only in cleaned_fees_heads.csv
6503,Only in cleaned_fees_heads.csv
6699,Only in cleaned_fees_heads.csv
7255,Only in cleaned_fees_heads.csv
7265,Only in cleaned_fees_heads.csv
7593,Only in cleaned_fees_heads.csv
7650,Only in cleaned_fees_heads.csv
7680,Only in cleaned_fees_heads.csv
4423,Only in cleaned_fees_heads.csv
4554,Only in cleaned_fees_heads.csv
4575,Only in cleaned_fees_heads.csv
4585,Only in cleaned_fees_heads.csv
4587,Only in cleaned_fees_heads.csv
4710,Only in cleaned_fees_heads.csv
4859,Only in cleaned_fees_heads.csv
4901,Only in cleaned_fees_heads.csv
4848,Only in cleaned_fees_heads.csv
4914,Only in cleaned_fees_heads.csv
5116,Only in cleaned_fees_heads.csv
5172,Only in cleaned_fees_heads.csv
5543,Only in cleaned_fees_heads.csv
5862,Only in cleaned_fees_heads.csv
6234,Only in cleaned_fees_heads.csv
6744,Only in cleaned_fees_heads.csv
7180,Only in cleaned_fees_heads.csv
7294,Only in cleaned_fees_heads.csv
7325,Only in cleaned_fees_heads.csv
7339,Only in cleaned_fees_heads.csv
7735,Only in cleaned_fees_heads.csv
7741,Only in cleaned_fees_heads.csv
4456,Only in cleaned_fees_heads.csv
4471,Only in cleaned_fees_heads.csv
4475,Only in cleaned_fees_heads.csv
4533,Only in cleaned_fees_heads.csv
4574,Only in cleaned_fees_heads.csv
4588,Only in cleaned_fees_heads.csv
4613,Only in cleaned_fees_heads.csv
4623,Only in cleaned_fees_heads.csv
4806,Only in cleaned_fees_heads.csv
4837,Only in cleaned_fees_heads.csv
4899,Only in cleaned_fees_heads.csv
4961,Only in cleaned_fees_heads.csv
4997,Only in cleaned_fees_heads.csv
5051,Only in cleaned_fees_heads.csv
5076,Only in cleaned_fees_heads.csv
5189,Only in cleaned_fees_heads.csv
5363,Only in cleaned_fees_heads.csv
5774,Only in cleaned_fees_heads.csv
5801,Only in cleaned_fees_heads.csv
5955,Only in cleaned_fees_heads.csv
6258,Only in cleaned_fees_heads.csv
6464,Only in cleaned_fees_heads.csv
6641,Only in cleaned_fees_heads.csv
7648,Only in cleaned_fees_heads.csv
4561,Only in cleaned_fees_heads.csv
4608,Only in cleaned_fees_heads.csv
4607,Only in cleaned_fees_heads.csv
4971,Only in cleaned_fees_heads.csv
5010,Only in cleaned_fees_heads.csv
5024,Only in cleaned_fees_heads.csv
5119,Only in cleaned_fees_heads.csv
5115,Only in cleaned_fees_heads.csv
5672,Only in cleaned_fees_heads.csv
5846,Only in cleaned_fees_heads.csv
6879,Only in cleaned_fees_heads.csv
5724,Only in cleaned_fees_heads.csv
7104,Only in cleaned_fees_heads.csv
7210,Only in cleaned_fees_heads.csv
7264,Only in cleaned_fees_heads.csv
7284,Only in cleaned_fees_heads.csv
7704,Only in cleaned_fees_heads.csv
7718,Only in cleaned_fees_heads.csv
7768,Only in cleaned_fees_heads.csv
7896,Only in cleaned_fees_heads.csv
4359,Only in cleaned_fees_heads.csv
4401,Only in cleaned_fees_heads.csv
4424,Only in cleaned_fees_heads.csv
4444,Only in cleaned_fees_heads.csv
4469,Only in cleaned_fees_heads.csv
4534,Only in cleaned_fees_heads.csv
4578,Only in cleaned_fees_heads.csv
4612,Only in cleaned_fees_heads.csv
4735,Only in cleaned_fees_heads.csv
4770,Only in cleaned_fees_heads.csv
4938,Only in cleaned_fees_heads.csv
4962,Only in cleaned_fees_heads.csv
5304,Only in cleaned_fees_heads.csv
5375,Only in cleaned_fees_heads.csv
5416,Only in cleaned_fees_heads.csv
5671,Only in cleaned_fees_heads.csv
5752,Only in cleaned_fees_heads.csv
5782,Only in cleaned_fees_heads.csv
5937,Only in cleaned_fees_heads.csv
6278,Only in cleaned_fees_heads.csv
6587,Only in cleaned_fees_heads.csv
6705,Only in cleaned_fees_heads.csv
6711,Only in cleaned_fees_heads.csv
7100,Only in cleaned_fees_heads.csv
7238,Only in cleaned_fees_heads.csv
7242,Only in cleaned_fees_heads.csv
7256,Only in cleaned_fees_heads.csv
7338,Only in cleaned_fees_heads.csv
7509,Only in cleaned_fees_heads.csv
7587,Only in cleaned_fees_heads.csv
7601,Only in cleaned_fees_heads.csv
7674,Only in cleaned_fees_heads.csv
7679,Only in cleaned_fees_heads.csv
7707,Only in cleaned_fees_heads.csv
7839,Only in cleaned_fees_heads.csv
4020,Only in cleaned_fees_heads.csv
4289,Only in cleaned_fees_heads.csv
4296,Only in cleaned_fees_heads.csv
4353,Only in cleaned_fees_heads.csv
4449,Only in cleaned_fees_heads.csv
4468,Only in cleaned_fees_heads.csv
4584,Only in cleaned_fees_heads.csv
4711,Only in cleaned_fees_heads.csv
4728,Only in cleaned_fees_heads.csv
4768,Only in cleaned_fees_heads.csv
4773,Only in cleaned_fees_heads.csv
4785,Only in cleaned_fees_heads.csv
4870,Only in cleaned_fees_heads.csv
5006,Only in cleaned_fees_heads.csv
5386,Only in cleaned_fees_heads.csv
6647,Only in cleaned_fees_heads.csv
6771,Only in cleaned_fees_heads.csv
7029,Only in cleaned_fees_heads.csv
7367,Only in cleaned_fees_heads.csv
7467,Only in cleaned_fees_heads.csv
7555,Only in cleaned_fees_heads.csv
7625,Only in cleaned_fees_heads.csv
7627,Only in cleaned_fees_heads.csv
7802,Only in cleaned_fees_heads.csv
4348,Only in cleaned_fees_heads.csv
4431,Only in cleaned_fees_heads.csv
4467,Only in cleaned_fees_heads.csv
5133,Only in cleaned_fees_heads.csv
5208,Only in cleaned_fees_heads.csv
5371,Only in cleaned_fees_heads.csv
5422,Only in cleaned_fees_heads.csv
5536,Only in cleaned_fees_heads.csv
5761,Only in cleaned_fees_heads.csv
5828,Only in cleaned_fees_heads.csv
5983,Only in cleaned_fees_heads.csv
6213,Only in cleaned_fees_heads.csv
6271,Only in cleaned_fees_heads.csv
6482,Only in cleaned_fees_heads.csv
6791,Only in cleaned_fees_heads.csv
6781,Only in cleaned_fees_heads.csv
6806,Only in cleaned_fees_heads.csv
6963,Only in cleaned_fees_heads.csv
7111,Only in cleaned_fees_heads.csv
7173,Only in cleaned_fees_heads.csv
7454,Only in cleaned_fees_heads.csv
4196,Only in cleaned_fees_heads.csv
4213,Only in cleaned_fees_heads.csv
4223,Only in cleaned_fees_heads.csv
4224,Only in cleaned_fees_heads.csv
4240,Only in cleaned_fees_heads.csv
4258,Only in cleaned_fees_heads.csv
4267,Only in cleaned_fees_heads.csv
4279,Only in cleaned_fees_heads.csv
4284,Only in cleaned_fees_heads.csv
4300,Only in cleaned_fees_heads.csv
4350,Only in cleaned_fees_heads.csv
4388,Only in cleaned_fees_heads.csv
4398,Only in cleaned_fees_heads.csv
4731,Only in cleaned_fees_heads.csv
4847,Only in cleaned_fees_heads.csv
4939,Only in cleaned_fees_heads.csv
5016,Only in cleaned_fees_heads.csv
5092,Only in cleaned_fees_heads.csv
5130,Only in cleaned_fees_heads.csv
5134,Only in cleaned_fees_heads.csv
5253,Only in cleaned_fees_heads.csv
5305,Only in cleaned_fees_heads.csv
