C.C.,Receivable
7062.0,8975
7113.0,13975
7116.0,17975
7243.0,16975
7269.0,14975
7354.0,16975
7436.0,16975
6761.0,16975
6924.0,17975
7114.0,15975
7124.0,15975
7169.0,17975
7171.0,16975
7430.0,14975
7453.0,16975
7568.0,16575
7592.0,16575
7621.0,16575
7678.0,16575
6393.0,16975
6615.0,13975
6671.0,16975
7120.0,16975
7132.0,15975
7346.0,16975
7358.0,12975
7658.0,16575
6461.0,15975
6741.0,15975
6756.0,14975
6704.0,16975
6788.0,16975
6841.0,4792
6601.0,13675
7347.0,16975
7420.0,19975
6399.0,15975
6514.0,14975
6621.0,14975
6649.0,15815
6730.0,14575
6766.0,16975
7129.0,16975
7624.0,12575
6377.0,15975
6397.0,15975
6928.0,16975
7186.0,19975
7216.0,17975
7288.0,14975
7348.0,15975
7368.0,16975
7431.0,14975
6366.0,16975
6513.0,14975
6626.0,17975
6682.0,14975
6680.0,14975
6747.0,16975
6825.0,15975
6977.0,17975
7304.0,15000
7327.0,14575
6354.0,14166
6367.0,5392
6323.0,15975
6432.0,15975
6679.0,15975
7034.0,15975
7028.0,15975
7566.0,14575
7633.0,16575
7651.0,24316
6593.0,13975
6607.0,16975
6611.0,15975
6670.0,15975
6767.0,-79875
7021.0,15975
7236.0,15975
7259.0,15325
7297.0,15975
7314.0,14975
7575.0,14575
7638.0,14575
5816.0,4975
5863.0,17975
5874.0,16975
5877.0,16975
5981.0,16975
6089.0,16975
6130.0,16975
6136.0,16975
6222.0,15975
6398.0,16975
6606.0,16975
7130.0,16975
7181.0,17975
7357.0,16975
7402.0,16975
7576.0,16575
7672.0,16575
5783.0,15975
5866.0,16975
5962.0,16975
5963.0,16975
6128.0,16975
6378.0,17975
6460.0,16975
6706.0,16975
7126.0,16975
7589.0,14575
7714.0,17975
5813.0,17975
5921.0,16975
5925.0,15975
5927.0,16975
6087.0,16975
6106.0,17975
6223.0,16975
6638.0,15975
6681.0,16975
6774.0,17975
6888.0,18975
6935.0,5392
7379.0,16975
7755.0,18575
5426.0,4493
5531.0,16975
5591.0,14975
5833.0,16975
5849.0,15975
5864.0,15975
5958.0,17975
5959.0,16975
5982.0,16975
6452.0,14975
6678.0,17975
6831.0,16975
7224.0,14975
7234.0,13832
7239.0,18975
7328.0,14575
7349.0,15975
7623.0,14575
6421.0,16975
6672.0,17975
6713.0,17975
6748.0,17975
7058.0,15975
7109.0,15975
7123.0,15975
7128.0,15975
7187.0,37950
7237.0,16975
7675.0,18575
5514.0,16975
5665.0,16975
5710.0,15975
5741.0,16975
5750.0,15975
5756.0,15975
5960.0,14975
6504.0,17975
7033.0,15975
7054.0,18975
5723.0,13991
7103.0,13975
7296.0,15975
7603.0,12575
7693.0,14575
7725.0,16575
5428.0,17975
5447.0,16975
5530.0,10532
5553.0,18975
5675.0,15975
5802.0,16975
6131.0,17975
6288.0,14975
6356.0,12575
6391.0,16975
6540.0,16975
6572.0,15975
7227.0,14975
7260.0,15324
7285.0,14975
7298.0,14975
7315.0,16975
7350.0,15975
7594.0,12575
7628.0,11575
3851.0,39950
3974.0,18975
3980.0,19975
3992.0,18975
4053.0,37950
4074.0,18975
4228.0,5993
4334.0,30420
4390.0,18975
4445.0,39950
4917.0,18975
5117.0,18975
5227.0,37950
5493.0,18975
5643.0,19975
6617.0,41950
6659.0,20975
6787.0,18975
7045.0,19975
7220.0,41950
7248.0,21975
7254.0,20975
7266.0,16975
7276.0,39950
7312.0,21975
7334.0,21975
7639.0,43150
7692.0,39150
3518.0,19975
3486.0,7490
3475.0,39950
3669.0,21975
3717.0,18975
3758.0,19975
3819.0,18975
3807.0,18975
3868.0,19975
4411.0,37950
4660.0,37950
